links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
1220,4,4,4,0.0,0.35714285714285715,0.0
1230,4,4,4,0.0,0.3488372093023256,0.0
1240,4,4,4,0.0,0.3333333333333333,0.0
1250,4,4,4,0.0,0.3333333333333333,0.0
1260,4,4,4,0.0,0.3333333333333333,0.0
1270,4,4,4,0.0,0.3333333333333333,0.0
1280,4,4,4,0.0,0.32608695652173914,0.0
1290,4,4,4,0.0,0.375,0.0
1300,4,4,4,0.0,0.375,0.0
1310,4,4,4,0.0,0.375,0.0
1320,4,4,4,0.0,0.375,0.0
1330,4,4,4,0.0,0.3673469387755102,0.0
1340,4,4,4,0.0,0.3673469387755102,0.0
1350,4,4,4,0.0,0.3673469387755102,0.0
1360,4,4,4,0.0,0.35294117647058826,0.0
1370,4,4,4,0.0,0.35294117647058826,0.0
1380,4,4,4,0.0,0.35294117647058826,0.0
1390,4,4,4,0.0,0.35294117647058826,0.0
1400,4,4,4,0.0,0.35294117647058826,0.0
1410,4,4,4,0.0,0.34615384615384615,0.0
1420,4,4,4,0.0,0.34615384615384615,0.0
1430,4,4,4,0.0,0.34615384615384615,0.0
1440,4,4,4,0.0,0.34615384615384615,0.0
1450,4,4,4,0.0,0.3333333333333333,0.0
1460,4,4,4,0.0,0.3333333333333333,0.0
1470,4,4,4,0.0,0.3333333333333333,0.0
1480,4,4,4,0.0,0.3333333333333333,0.0
1490,4,4,4,0.0,0.32727272727272727,0.0
1500,4,4,4,0.0,0.32727272727272727,0.0
1510,4,4,4,0.0,0.32142857142857145,0.0
1520,4,4,4,0.0,0.32142857142857145,0.0
1530,4,4,4,0.0,0.32142857142857145,0.0
1540,4,4,4,0.0,0.3103448275862069,0.0
1550,4,4,4,0.0,0.3050847457627119,0.0
1560,4,4,4,0.0,0.3,0.0
1570,4,4,4,0.0,0.3,0.0
1580,4,4,4,0.0,0.29508196721311475,0.0
1590,4,4,4,0.0,0.29508196721311475,0.0
1600,4,4,4,0.0,0.2903225806451613,0.0
1610,4,4,4,0.0,0.2903225806451613,0.0
1620,4,4,4,0.0,0.2857142857142857,0.0
1630,4,4,4,0.0,0.3181818181818182,0.0
1640,4,4,4,0.0,0.3181818181818182,0.0
1650,4,4,4,0.0,0.3181818181818182,0.0
1660,4,4,4,0.0,0.3181818181818182,0.0
1670,4,4,4,0.0,0.31343283582089554,0.0
1680,4,4,4,0.0,0.34285714285714286,0.0
1690,4,4,4,0.0,0.34285714285714286,0.0
1700,4,4,4,0.0,0.3380281690140845,0.0
1710,4,4,4,0.0,0.3380281690140845,0.0
1720,4,4,4,0.0,0.3333333333333333,0.0
1730,4,4,4,0.0,0.3333333333333333,0.0
1740,4,4,4,0.0,0.3287671232876712,0.0
1750,4,4,4,0.0,0.3287671232876712,0.0
1760,4,4,4,0.0,0.32,0.0
1770,4,4,4,0.0,0.32,0.0
1780,4,4,4,0.0,0.32,0.0
1790,4,4,4,0.0,0.32,0.0
1800,4,4,4,0.0,0.32,0.0
1810,4,4,4,0.0,0.32,0.0
1820,4,4,4,0.0,0.3157894736842105,0.0
1830,4,4,4,0.0,0.3157894736842105,0.0
1840,4,4,4,0.0,0.3157894736842105,0.0
1850,4,4,4,0.0,0.3157894736842105,0.0
1860,4,4,4,0.0,0.3157894736842105,0.0
1870,4,4,4,0.0,0.3116883116883117,0.0
1880,4,4,4,0.0,0.3076923076923077,0.0
1890,4,4,4,0.0,0.3,0.0
1900,4,4,4,0.0,0.3,0.0
1910,4,4,4,0.0,0.2962962962962963,0.0
1920,4,4,4,0.0,0.2962962962962963,0.0
1930,4,4,4,0.0,0.2962962962962963,0.0
1940,4,4,4,0.0,0.2926829268292683,0.0
1950,4,4,4,0.0,0.2926829268292683,0.0
1960,4,4,4,0.0,0.2891566265060241,0.0
1970,4,4,4,0.0,0.27906976744186046,0.0
1980,4,4,4,0.0,0.27586206896551724,0.0
1990,4,4,4,0.0,0.27586206896551724,0.0
2000,4,4,4,0.0,0.2727272727272727,0.0
2010,4,4,4,0.0,0.2727272727272727,0.0
2020,4,4,4,0.0,0.2696629213483146,0.0
2030,4,4,4,0.0,0.2696629213483146,0.0
2040,4,4,4,0.0,0.26666666666666666,0.0
2050,4,4,4,0.0,0.2608695652173913,0.0
2060,4,4,4,0.0,0.2608695652173913,0.0
2070,4,4,4,0.0,0.2553191489361702,0.0
2080,4,4,4,0.0,0.25263157894736843,0.0
2090,4,4,4,0.0,0.2755102040816326,0.0
2100,4,4,4,0.0,0.2727272727272727,0.0
2110,4,4,4,0.0,0.2647058823529412,0.0
2120,4,4,4,0.0,0.28846153846153844,0.0
2130,4,4,4,0.0,0.28846153846153844,0.0
2140,4,4,4,0.0,0.28846153846153844,0.0
2150,4,4,4,0.0,0.2857142857142857,0.0
2160,4,4,4,0.0,0.2830188679245283,0.0
2170,4,4,4,0.0,0.2830188679245283,0.0
2180,4,4,4,0.0,0.2830188679245283,0.0
2190,4,4,4,0.0,0.2830188679245283,0.0
2200,4,4,4,0.0,0.27522935779816515,0.0
2210,4,4,4,0.0,0.27522935779816515,0.0
2220,4,4,4,0.0,0.27522935779816515,0.0
2230,4,4,4,0.0,0.27522935779816515,0.0
2240,4,4,4,0.0,0.27522935779816515,0.0
2250,4,4,4,0.0,0.27522935779816515,0.0
2260,4,4,4,0.0,0.2702702702702703,0.025423728813559324
2270,4,4,4,0.0,0.26785714285714285,0.025210084033613446
2280,4,4,4,0.0,0.26548672566371684,0.025
2290,4,4,4,0.0,0.26548672566371684,0.02459016393442623
2300,4,4,4,0.0,0.28695652173913044,0.02459016393442623
2310,4,5,4,0.0,0.28448275862068967,0.024390243902439025
2320,4,5,4,0.0,0.28448275862068967,0.024193548387096774
2330,4,5,4,0.0,0.2773109243697479,0.023622047244094488
2340,4,5,4,0.0,0.27049180327868855,0.0234375
2350,4,5,4,0.0,0.2682926829268293,0.0234375
2360,4,5,4,0.0,0.2661290322580645,0.023255813953488372
2370,4,5,5,0.0,0.28346456692913385,0.023076923076923078
2380,4,5,5,0.0,0.28125,0.022727272727272728
2390,4,5,5,0.0,0.28125,0.022727272727272728
2400,4,5,5,0.0,0.28125,0.022727272727272728
2410,4,5,5,0.0,0.27906976744186046,0.022727272727272728
2420,4,5,5,0.0,0.27906976744186046,0.022727272727272728
2430,4,5,5,0.0,0.27692307692307694,0.022727272727272728
2440,4,5,5,0.0,0.2706766917293233,0.022556390977443608
2450,4,5,5,0.0,0.2706766917293233,0.022556390977443608
2460,4,5,5,0.0,0.2706766917293233,0.022222222222222223
2470,4,5,5,0.0,0.2608695652173913,0.022222222222222223
2480,4,5,5,0.0,0.2608695652173913,0.022058823529411766
2490,4,5,5,0.0,0.2589928057553957,0.022058823529411766
2500,4,5,5,0.0,0.2535211267605634,0.021897810218978103
2510,4,5,5,0.0,0.2689655172413793,0.021897810218978103
2520,4,5,5,0.0,0.2689655172413793,0.02127659574468085
2530,4,5,5,0.0,0.2689655172413793,0.02097902097902098
2540,4,5,5,0.0,0.2671232876712329,0.02097902097902098
2550,4,5,5,0.0,0.2653061224489796,0.020833333333333332
2560,4,5,5,0.0,0.26,0.020689655172413793
2570,4,5,5,0.0,0.26,0.02054794520547945
2580,4,5,5,0.0,0.2565789473684211,0.02054794520547945
2590,4,5,5,0.0,0.2549019607843137,0.02027027027027027
2600,4,5,5,0.0,0.2549019607843137,0.02027027027027027
2610,4,5,5,0.0,0.2549019607843137,0.02
2620,4,5,5,0.0,0.2549019607843137,0.02
2630,4,5,5,0.0,0.2532467532467532,0.019867549668874173
2640,4,5,5,0.0,0.25161290322580643,0.019867549668874173
2650,4,5,5,0.0,0.25,0.019867549668874173
2660,6,5,5,0.0,0.25,0.019736842105263157
2670,6,5,5,0.0,0.26582278481012656,0.019736842105263157
2680,6,5,5,0.0,0.2641509433962264,0.0196078431372549
2690,6,5,5,0.0,0.2625,0.01935483870967742
2700,6,5,5,0.0,0.27607361963190186,0.018867924528301886
2710,6,5,5,0.0,0.27439024390243905,0.01875
2720,6,5,5,0.0,0.2710843373493976,0.018633540372670808
2730,6,5,5,0.0,0.2710843373493976,0.018518518518518517
2740,6,5,5,0.0,0.2694610778443114,0.018404907975460124
2750,6,5,5,0.0,0.26785714285714285,0.01818181818181818
2760,6,5,5,0.0,0.2647058823529412,0.01818181818181818
2770,6,5,5,0.0,0.2647058823529412,0.017857142857142856
2780,6,5,5,0.0,0.2647058823529412,0.017857142857142856
2790,6,5,5,0.0,0.2631578947368421,0.01764705882352941
2800,6,5,5,0.0,0.2742857142857143,0.017543859649122806
2810,6,5,5,0.0,0.28651685393258425,0.017341040462427744
2820,6,5,5,0.0,0.2833333333333333,0.017341040462427744
2830,6,5,5,0.0,0.2802197802197802,0.017341040462427744
2840,6,5,5,0.0,0.2802197802197802,0.017142857142857144
2850,6,5,5,0.0,0.2802197802197802,0.01675977653631285
2860,6,5,5,0.0,0.2802197802197802,0.016666666666666666
2870,6,5,5,0.0,0.27717391304347827,0.016574585635359115
2880,6,5,5,0.0,0.2872340425531915,0.01639344262295082
2890,6,5,5,0.0,0.2857142857142857,0.016216216216216217
2900,6,5,5,0.0,0.28125,0.016042780748663103
2910,6,5,5,0.0,0.27692307692307694,0.015957446808510637
2920,6,5,5,0.0,0.27692307692307694,0.015789473684210527
2930,6,5,5,0.0,0.2755102040816326,0.015789473684210527
2940,6,5,5,0.0,0.2755102040816326,0.015625
2950,6,5,5,0.0,0.27411167512690354,0.015544041450777202
2960,6,5,5,0.0,0.27411167512690354,0.015544041450777202
2970,6,5,5,0.0,0.271356783919598,0.015306122448979591
