links,max_compsize_rand,max_compsize_para,max_compsize_perp,global_cluster_coeff_rand,global_cluster_coeff_para,global_cluster_coeff_perp
6300,1304,145,1516,0.06809678223996009,0.16374340733472342,0.022777369581190303
6400,1402,154,1667,0.06851135814403093,0.16385656613630967,0.02282453637660485
6500,1440,167,1825,0.06745520552757935,0.1630584983878397,0.023448275862068966
6600,1908,188,1873,0.0676487252124646,0.16378251646756728,0.02412329685056958
6700,2065,373,2565,0.06944596818431158,0.1641920450850764,0.024422012373819604
6800,2178,418,2877,0.06974512104084463,0.16566740296623542,0.023967202775149795
6900,2636,444,3146,0.07013551256853212,0.16292364230298081,0.023843488893417565
7000,2965,564,4024,0.07056694813027745,0.16118780415135564,0.024026102432272097
7100,3112,725,4143,0.07282831237203861,0.1644508670520231,0.024648896531957582
7200,3354,1516,4351,0.07378677513953269,0.16468049169559915,0.024758902077151337
7300,3488,1647,4516,0.07437102571191595,0.16454081632653061,0.025180505415162455
7400,3690,2054,4673,0.07643312101910828,0.16477675407512402,0.026091540015813056
7500,4192,2128,4883,0.07787100157315155,0.16255392579810182,0.02590186356642161
7600,4283,2165,5125,0.0784898585307653,0.1628982096326805,0.02693042972321503
7700,4500,3457,5229,0.07897359242650723,0.16256036670213636,0.027892311423720593
7800,4607,3944,5312,0.08092392182199967,0.16167664670658682,0.028163458504260018
7900,4818,4100,5421,0.08136152818174672,0.1604015876721924,0.02840865347601817
8000,4996,4189,5520,0.08374120526154788,0.15983886904309494,0.028922196279279958
8100,5412,4367,5686,0.08445040214477212,0.15962406571449714,0.02935766315944375
8200,5562,4597,5802,0.08549618320610687,0.16006362058993637,0.030585870189546237
8300,5626,4729,5955,0.08666335438994961,0.16047988708539168,0.030695914219636976
8400,5732,4946,6075,0.0877108100635886,0.15918958031837915,0.03115605356654824
8500,5912,5061,6200,0.0888124620675703,0.15751211631663975,0.03104760632970555
8600,6036,5249,6262,0.08946086498584688,0.1580814717477004,0.031125611745513867
8700,6130,5332,6379,0.08969650106321284,0.15788457826674387,0.03227038380752339
8800,6316,5472,6528,0.09188882586500284,0.15720030158331239,0.03304499346567926
8900,6454,5754,6670,0.09258116281940501,0.15688563878817674,0.033660589060308554
9000,6530,5835,6788,0.09230769230769231,0.15728785057954478,0.033734075004485914
9100,6622,5941,6900,0.09242459943449575,0.15763488891501118,0.03444034440344403
9200,6703,6079,6978,0.09364201796821009,0.1575492341356674,0.03406158610012042
9300,6789,6141,7071,0.09452147446736557,0.15725259828287394,0.03468402738803457
9400,6858,6314,7117,0.09475427940364439,0.15869853917662682,0.0350983192354169
9500,6978,6470,7195,0.09510179834746449,0.16002602049113676,0.03656572164948454
9600,7072,6562,7252,0.09601650531661642,0.15920318725099603,0.03712871287128713
9700,7155,6612,7311,0.09664888382451961,0.15853658536585366,0.03739184177997528
9800,7224,6739,7359,0.0967643777259357,0.15765282671977937,0.03815291445874338
9900,7297,6797,7435,0.09773539928486293,0.15812371855778368,0.038448216141323176
10000,7346,6878,7507,0.0990903341927324,0.15823529411764706,0.03873598369011213
10100,7404,6942,7567,0.10033875662006775,0.15770488649480568,0.038922155688622756
10200,7466,7011,7641,0.10110783901276119,0.15745504318685988,0.039473684210526314
10300,7541,7077,7704,0.1022195725946987,0.15702593979747537,0.0398369888731169
