N,V,Ls,dcmax,dc_crits
1000000,4.0e6,0.1,1.5,1.33065664768219
1000000,4.0e6,0.10390390390390392,1.5,1.325055480003357
1000000,4.0e6,0.10780780780780781,1.5,1.32767915725708
1000000,4.0e6,0.11171171171171171,1.5,1.3197063207626343
1000000,4.0e6,0.11561561561561562,1.5,1.3218591213226318
1000000,4.0e6,0.11951951951951953,1.5,1.3190369606018066
1000000,4.0e6,0.12342342342342343,1.5,1.315769910812378
1000000,4.0e6,0.12732732732732735,1.5,1.3132597208023071
1000000,4.0e6,0.13123123123123123,1.5,1.3134574890136719
1000000,4.0e6,0.13513513513513514,1.5,1.313165545463562
1000000,4.0e6,0.13903903903903903,1.5,1.313978910446167
1000000,4.0e6,0.14294294294294296,1.5,1.3119211196899414
1000000,4.0e6,0.14684684684684685,1.5,1.3123100996017456
1000000,4.0e6,0.15075075075075076,1.5,1.308509111404419
1000000,4.0e6,0.15465465465465467,1.5,1.302471399307251
1000000,4.0e6,0.15855855855855858,1.5,1.3014729022979736
1000000,4.0e6,0.1624624624624625,1.5,1.2972770929336548
1000000,4.0e6,0.16636636636636637,1.5,1.2990508079528809
1000000,4.0e6,0.17027027027027025,1.5,1.2963982820510864
1000000,4.0e6,0.1741741741741742,1.5,1.2957897186279297
1000000,4.0e6,0.17807807807807807,1.5,1.2910212278366089
1000000,4.0e6,0.181981981981982,1.5,1.2885760068893433
1000000,4.0e6,0.1858858858858859,1.5,1.288731336593628
1000000,4.0e6,0.1897897897897898,1.5,1.283840298652649
1000000,4.0e6,0.1936936936936937,1.5,1.2833455801010132
1000000,4.0e6,0.1975975975975976,1.5,1.2823078632354736
1000000,4.0e6,0.2015015015015015,1.5,1.2792662382125854
1000000,4.0e6,0.20540540540540542,1.5,1.2793973684310913
1000000,4.0e6,0.2093093093093093,1.5,1.2757999897003174
1000000,4.0e6,0.21321321321321324,1.5,1.2738287448883057
1000000,4.0e6,0.21711711711711712,1.5,1.2754136323928833
1000000,4.0e6,0.22102102102102103,1.5,1.2728359699249268
1000000,4.0e6,0.22492492492492494,1.5,1.2717266082763672
1000000,4.0e6,0.22882882882882882,1.5,1.2651444673538208
1000000,4.0e6,0.23273273273273276,1.5,1.2672836780548096
1000000,4.0e6,0.23663663663663664,1.5,1.2663806676864624
1000000,4.0e6,0.24054054054054055,1.5,1.2624765634536743
1000000,4.0e6,0.24444444444444446,1.5,1.2615779638290405
1000000,4.0e6,0.24834834834834835,1.5,1.2544498443603516
1000000,4.0e6,0.25225225225225223,1.5,1.256639838218689
1000000,4.0e6,0.25615615615615617,1.5,1.254461646080017
1000000,4.0e6,0.26006006006006005,1.5,1.2500295639038086
1000000,4.0e6,0.263963963963964,1.5,1.25404691696167
1000000,4.0e6,0.26786786786786787,1.5,1.2478774785995483
1000000,4.0e6,0.2717717717717718,1.5,1.248002052307129
1000000,4.0e6,0.2756756756756757,1.5,1.2475203275680542
1000000,4.0e6,0.2795795795795796,1.5,1.2448447942733765
1000000,4.0e6,0.2834834834834835,1.5,1.242059350013733
1000000,4.0e6,0.2873873873873874,1.5,1.238284945487976
1000000,4.0e6,0.2912912912912913,1.5,1.2423540353775024
1000000,4.0e6,0.2951951951951952,1.5,1.2358287572860718
1000000,4.0e6,0.2990990990990991,1.5,1.2393487691879272
1000000,4.0e6,0.303003003003003,1.5,1.236845850944519
1000000,4.0e6,0.3069069069069069,1.5,1.2324066162109375
1000000,4.0e6,0.31081081081081086,1.5,1.2302497625350952
1000000,4.0e6,0.31471471471471474,1.5,1.2265905141830444
1000000,4.0e6,0.3186186186186186,1.5,1.2273192405700684
1000000,4.0e6,0.3225225225225225,1.5,1.2219181060791016
1000000,4.0e6,0.32642642642642644,1.5,1.2219555377960205
1000000,4.0e6,0.3303303303303303,1.5,1.2173511981964111
1000000,4.0e6,0.33423423423423426,1.5,1.2202430963516235
1000000,4.0e6,0.33813813813813814,1.5,1.2192407846450806
1000000,4.0e6,0.342042042042042,1.5,1.213929295539856
1000000,4.0e6,0.3459459459459459,1.5,1.2139732837677002
1000000,4.0e6,0.34984984984984985,1.5,1.2122567892074585
1000000,4.0e6,0.3537537537537538,1.5,1.2064543962478638
1000000,4.0e6,0.35765765765765767,1.5,1.2081806659698486
1000000,4.0e6,0.36156156156156155,1.5,1.2058517932891846
1000000,4.0e6,0.3654654654654655,1.5,1.2037363052368164
1000000,4.0e6,0.36936936936936937,1.5,1.2014155387878418
1000000,4.0e6,0.3732732732732733,1.5,1.2040513753890991
